#evaluations,current best fitness
129,8
257,8
385,8
513,8
641,8
769,8
897,8
1025,8
1153,8
1281,8
1409,8
1537,8
1665,8
1793,8
1921,8
2049,8
2177,8
2305,8
2433,8
2561,8
2689,8
2817,8
2945,8
3073,8
3201,8
3329,8
3457,8
3585,8
3713,8
3841,8
3969,8
4097,8
4225,8
4353,8
4481,8
4609,8
4737,8
4865,8
4993,8
5121,8
5249,8
5377,8
5505,8
5633,8
5761,8
5889,8
6017,8
6145,8
6273,8
6401,8
6529,8
6657,8
6785,8
6913,8
7041,8
7169,8
7297,8
7425,8
7553,8
7681,8
7809,8
7937,8
8065,8
8193,8
8321,8
8449,8
8577,8
8705,8
8833,8
8961,8
9089,8
9217,8
9345,32
9473,32
9601,32
9729,32
9857,32
9985,32
10113,32
10241,32
10369,32
10497,32
10625,32
10753,32
10881,32
11009,32
11137,32
11265,32
11393,32
11521,32
11649,32
11777,32
11905,32
12033,32
12161,32
12289,32
12417,32
12545,32
12673,32
12801,32
12929,32
13057,32
13185,32
13313,32
13441,32
13569,32
13697,32
13825,32
13953,32
14081,32
14209,32
14337,32
14465,32
14593,32
14721,32
14849,32
14977,32
15105,32
15233,32
15361,32
15489,32
15617,40
15745,40
15873,40
16001,40
16129,40
16257,40
16385,40
16513,40
16641,40
16769,40
16897,40
17025,40
17153,40
17281,40
17409,40
17537,40
17665,40
17793,40
17921,40
18049,40
18177,40
18305,40
18433,40
18561,40
18689,40
18817,40
18945,40
19073,40
19201,40
19329,40
19457,40
19585,40
19713,40
19841,40
19969,40
20097,40
20225,40
20353,40
20481,40
20609,40
20737,40
20865,40
20993,40
21121,40
21249,40
21377,40
21505,40
21633,40
21761,40
21889,40
22017,48
22145,48
22273,48
22401,48
22529,48
22657,48
22785,48
22913,48
23041,48
23169,48
23297,48
23425,48
23553,48
23681,48
23809,48
23937,48
24065,48
24193,48
24321,48
24449,48
24577,48
24705,48
24833,48
24961,48
25089,48
25217,48
25345,48
25473,48
25601,48
25729,48
25857,48
25985,48
26113,48
26241,48
26369,48
26497,48
26625,48
26753,48
26881,48
27009,48
27137,48
27265,48
27393,48
27521,48
27649,48
27777,48
27905,48
28033,48
28161,48
28289,48
28417,48
28545,48
28673,48
28801,48
28929,48
29057,48
29185,48
29313,48
29441,48
29569,48
29697,48
29825,48
29953,48
30081,48
30209,48
30337,48
30465,48
30593,48
30721,48
30849,48
30977,48
31105,48
31233,48
31361,48
31489,48
31617,48
31745,48
31873,48
32001,48
32129,48
32257,48
32385,48
32513,48
32641,48
32769,48
32897,48
33025,48
33153,48
33281,48
33409,48
33537,48
33665,48
33793,48
33921,48
34049,48
34177,48
34305,48
34433,48
34561,48
34689,48
34817,48
34945,48
35073,48
35201,48
35329,48
35457,48
35585,48
35713,48
35841,48
35969,48
36097,48
36225,48
36353,48
36481,48
36609,48
36737,48
36865,48
36993,48
37121,48
37249,48
37377,48
37505,48
37633,48
37761,48
37889,48
38017,48
38145,48
38273,48
38401,48
38529,48
38657,48
38785,48
38913,48
39041,48
39169,48
39297,104
39425,104
39553,104
39681,104
39809,104
39937,104
40065,104
40193,104
40321,104
40449,104
40577,104
40705,104
40833,104
40961,104
41089,104
41217,104
41345,104
41473,104
41601,104
41729,104
41857,104
41985,104
42113,104
42241,104
42369,104
42497,104
