#evaluations,current best fitness
129,8
257,16
385,16
513,16
641,16
769,16
897,16
1025,16
1153,16
1281,16
1409,16
1537,16
1665,16
1793,16
1921,16
2049,16
2177,16
2305,16
2433,16
2561,16
2689,16
2817,16
2945,16
3073,16
3201,16
3329,16
3457,16
3585,16
3713,16
3841,16
3969,16
4097,16
4225,16
4353,16
4481,16
4609,16
4737,16
4865,24
4993,24
5121,24
5249,24
5377,24
5505,24
5633,24
5761,32
5889,32
6017,32
6145,32
6273,32
6401,32
6529,32
6657,32
6785,32
6913,32
7041,32
7169,32
7297,32
7425,32
7553,32
7681,32
7809,32
7937,32
8065,32
8193,40
8321,40
8449,40
8577,40
8705,40
8833,40
8961,40
9089,40
9217,40
9345,40
9473,40
9601,40
9729,40
9857,40
9985,40
10113,40
10241,40
10369,40
10497,40
10625,40
10753,40
10881,40
11009,40
11137,40
11265,40
11393,40
11521,40
11649,48
11777,48
11905,48
12033,48
12161,48
12289,48
12417,48
12545,48
12673,48
12801,48
12929,48
13057,48
13185,48
13313,48
13441,48
13569,48
13697,48
13825,48
13953,48
14081,48
14209,48
14337,48
14465,48
14593,48
14721,48
14849,48
14977,48
15105,48
15233,48
15361,48
15489,48
15617,48
15745,48
15873,48
16001,48
16129,48
16257,48
16385,48
16513,48
16641,48
16769,48
16897,48
17025,48
17153,48
17281,48
17409,48
17537,48
17665,48
17793,48
17921,48
18049,48
18177,48
18305,48
18433,48
18561,48
18689,48
18817,48
18945,48
19073,48
19201,48
19329,48
19457,48
19585,48
19713,48
19841,48
19969,48
20097,48
20225,48
20353,48
20481,48
20609,48
20737,48
20865,48
20993,48
21121,48
21249,48
21377,48
21505,48
21633,48
21761,48
21889,48
22017,48
22145,48
22273,48
22401,48
22529,48
22657,48
22785,48
22913,48
23041,48
23169,48
23297,48
23425,48
23553,48
23681,48
23809,48
23937,48
24065,48
24193,48
24321,48
24449,48
24577,48
24705,48
24833,48
24961,48
25089,48
25217,48
25345,48
25473,48
25601,48
25729,48
25857,48
25985,48
26113,48
26241,48
26369,48
26497,48
26625,48
26753,48
26881,48
27009,48
27137,48
27265,48
27393,48
27521,48
27649,48
27777,48
27905,48
28033,48
